LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,Not Useful,Somewhat useful,NA,NA,NA,NA,Data Scientist,Neural Nets,NA,NA,NA,NA,Often,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,25,NA,6
NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,Very useful,Very useful,NA,NA,NA,NA,NA,Other,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,31,No,NA
Somewhat useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,Very useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,Very useful,Computer Scientist,Other,Often,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Entirely internal,Master's degree,NA,Yes,8
NA,NA,Not Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Machine Learning Engineer,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,25,No,1 - Highly Dissatisfied
Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,Yes,NA
Somewhat useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Machine Learning Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,More internal than external,Master's degree,28,No,7
Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Very useful,NA,Somewhat useful,Very useful,Very useful,NA,Somewhat useful,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Most of the time,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,Entirely internal,Bachelor's degree,23,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA
NA,Somewhat useful,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Data Scientist,Social Network Analysis,NA,NA,NA,NA,Often,NA,NA,NA,Often,NA,Often,NA,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,Entirely internal,Master's degree,24,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,18,Yes,NA
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,Data Analyst,Neural Nets,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,23,Yes,1 - Highly Dissatisfied
NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,Often,Often,NA,NA,NA,NA,Often,NA,NA,NA,NA,Often,Often,Often,NA,More external than internal,Master's degree,29,NA,8
Very useful,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,NA,Very useful,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,25,No,NA
NA,Very useful,Very useful,NA,Somewhat useful,NA,NA,NA,NA,NA,Very useful,Very useful,NA,Very useful,Very useful,NA,Very useful,Very useful,Researcher,NA,Often,Most of the time,NA,NA,NA,NA,NA,Most of the time,Sometimes,NA,Often,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,41,Sort of (Explain more),6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Software Developer/Software Engineer,Support Vector Machines (SVM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
NA,Very useful,NA,NA,Somewhat useful,Very useful,Somewhat useful,NA,NA,Very useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Scientist/Researcher,Bayesian Methods,Often,NA,Sometimes,NA,Often,Often,NA,NA,Often,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Often,Sometimes,Sometimes,NA,Approximately half internal and half external,Doctoral degree,35,Sort of (Explain more),8
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,Business Analyst,Decision Trees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,25,No,NA
NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,Data Scientist,Deep learning,NA,Often,NA,NA,Often,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Doctoral degree,35,NA,8
Somewhat useful,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,Somewhat useful,NA,Very useful,Very useful,NA,NA,Somewhat useful,Data Scientist,Neural Nets,Sometimes,Sometimes,Sometimes,Sometimes,Often,NA,NA,NA,Sometimes,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,More internal than external,Doctoral degree,40,NA,5
NA,Very useful,Very useful,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,Very useful,Software Developer/Software Engineer,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Yes,NA
Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,Entirely internal,Doctoral degree,33,NA,9
Very useful,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,30,Sort of (Explain more),NA
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Sort of (Explain more),NA
NA,Somewhat useful,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,32,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,35,No,NA
NA,Somewhat useful,Somewhat useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Not Useful,Very useful,NA,NA,Very useful,NA,Somewhat useful,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,32,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,48,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Business Analyst,Bayesian Methods,Often,NA,NA,NA,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Entirely internal,Master's degree,NA,Yes,5
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Regression,Most of the time,NA,NA,NA,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Bachelor's degree,25,NA,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,NA,More external than internal,Master's degree,38,NA,6
NA,NA,NA,NA,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Data Scientist,Monte Carlo Methods,NA,NA,NA,Sometimes,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,49,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Business Analyst,Deep learning,Most of the time,Most of the time,Most of the time,NA,Often,Most of the time,NA,NA,Most of the time,NA,Often,NA,Often,NA,NA,NA,NA,Often,NA,Sometimes,Most of the time,NA,More internal than external,Doctoral degree,36,Sort of (Explain more),1 - Highly Dissatisfied
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,Somewhat useful,NA,Very useful,NA,NA,Somewhat useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Software Developer/Software Engineer,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,30,No,NA
NA,NA,NA,NA,Not Useful,Not Useful,Somewhat useful,NA,Somewhat useful,NA,Very useful,Very useful,Not Useful,Very useful,NA,NA,NA,NA,Other,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,29,No,NA
Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,Very useful,Somewhat useful,NA,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Most of the time,Often,NA,NA,Often,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Most of the time,NA,More internal than external,Bachelor's degree,31,NA,8
Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Data Scientist,Support Vector Machines (SVM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,Entirely internal,Doctoral degree,33,NA,10 - Highly Satisfied
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Miner,Neural Nets,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,No,3
Somewhat useful,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Doctoral degree,38,NA,I prefer not to share
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Engineer,Random Forests,NA,Often,NA,NA,Most of the time,NA,NA,NA,NA,Often,NA,NA,NA,Most of the time,NA,NA,NA,NA,Often,Most of the time,Most of the time,NA,More internal than external,Doctoral degree,38,No,7
Very useful,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,53,No,NA
Somewhat useful,Very useful,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Business Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,38,Sort of (Explain more),NA
NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Very useful,Scientist/Researcher,Deep learning,NA,Most of the time,NA,NA,Often,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Often,Sometimes,NA,More internal than external,Master's degree,40,Yes,7
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Business Analyst,Neural Nets,NA,NA,Most of the time,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,NA,NA,Most of the time,NA,NA,Most of the time,NA,Do not know,Bachelor's degree,24,No,7
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Other,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,29,No,NA
NA,NA,Not Useful,Not Useful,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Not Useful,Somewhat useful,Very useful,NA,Very useful,Somewhat useful,Researcher,Factor Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I did not complete any formal education past high school,22,Yes,NA
NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Miner,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,No,NA
NA,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Programmer,I don't plan on learning a new ML/DS method,NA,Often,Most of the time,NA,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,Entirely internal,Doctoral degree,51,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,Regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,32,Yes,NA
NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,Somewhat useful,NA,Very useful,NA,NA,Very useful,Very useful,Researcher,Text Mining,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,Most of the time,Most of the time,NA,NA,Most of the time,NA,NA,NA,NA,Most of the time,Most of the time,Sometimes,NA,More internal than external,Master's degree,27,Sort of (Explain more),8
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,23,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Business Analyst,Deep learning,NA,Sometimes,Sometimes,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,Sometimes,NA,More external than internal,Master's degree,34,Yes,7
Somewhat useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,42,No,NA
Very useful,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,NA,Entirely internal,Doctoral degree,46,NA,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,Software Developer/Software Engineer,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Bachelor's degree,43,No,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,31,Sort of (Explain more),9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Proprietary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,24,No,NA
NA,Very useful,Somewhat useful,NA,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,Very useful,Somewhat useful,NA,Very useful,NA,NA,Very useful,Very useful,Machine Learning Engineer,Time Series Analysis,NA,Often,NA,Often,Most of the time,Often,NA,NA,NA,NA,NA,Sometimes,Most of the time,Often,NA,NA,NA,Most of the time,Most of the time,Most of the time,NA,NA,More internal than external,Bachelor's degree,32,Yes,7
NA,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,NA,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Yes,NA
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,NA,Most of the time,Sometimes,NA,Entirely internal,Bachelor's degree,22,NA,7
NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,Somewhat useful,NA,Very useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,23,No,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,Data Analyst,Time Series Analysis,Often,NA,NA,Sometimes,Most of the time,Most of the time,NA,Sometimes,NA,NA,NA,NA,NA,Most of the time,NA,NA,Sometimes,NA,NA,NA,Often,NA,Entirely internal,Master's degree,30,Yes,5
Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,Machine Learning Engineer,Time Series Analysis,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,Often,NA,NA,Entirely internal,Master's degree,34,Yes,7
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Very useful,Very useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,43,No,NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Somewhat useful,Very useful,NA,NA,Very useful,Engineer,Support Vector Machines (SVM),Most of the time,NA,NA,NA,Often,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,Entirely internal,Bachelor's degree,26,No,3
Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,Data Scientist,Neural Nets,NA,NA,NA,Sometimes,Most of the time,Often,Rarely,NA,Sometimes,NA,NA,Sometimes,NA,Sometimes,NA,NA,Rarely,NA,NA,NA,Often,NA,More internal than external,Master's degree,33,NA,9
NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,Very useful,NA,Somewhat useful,NA,NA,Not Useful,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I did not complete any formal education past high school,18,No,NA
NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,Very useful,Other,Neural Nets,Most of the time,NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,Most of the time,NA,NA,Entirely internal,Bachelor's degree,40,Sort of (Explain more),5
NA,Very useful,NA,NA,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Business Analyst,Monte Carlo Methods,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,Entirely internal,Master's degree,30,Sort of (Explain more),8
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,Statistician,Deep learning,Most of the time,Often,NA,NA,Often,NA,NA,NA,Most of the time,NA,Sometimes,Rarely,NA,NA,Often,NA,Often,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,100,Yes,8
Somewhat useful,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,29,No,NA
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Business Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,25,No,6
